Location,Hemisphere,Satellite,Source,Operator,Type,Coverage,Remarks,Launch Date,Rocket
28.2,E,Astra 2B,Luxembourg,,,,,9/14/2000, Ariane 5G
28.2,E,Astra 2C,Luxembourg,,,,,6/16/2001, Proton-K
28.2,E,Astra 2D,Luxembourg,,,,,12/20/2000, Ariane 5G
28.5,E,Eurobird 1,Europe,Eutelsat,,,,3/8/2001, Ariane 5G
30.5,E,Arabsat 2B,Arabsat,,,,,11/13/1996, Ariane 44L
31.3,E,Astra 1D,Luxembourg,SES,Comsat,24 Ku band,,11/1/1994, Ariane 4
31.5,E,Astra 1E,Luxembourg,SES,,,,10/19/1995, Ariane 42L
31.5,E,Sirius 2,Sweden,,,,,,
33,E,Eurobird 3,Europe,Eutelsat,,,,9/27/2003, Ariane 5G
33,E,Intelsat 802,ITSO,,,,,6/25/1997, Ariane 44P
36,E,Eutelsat Sesat 1,Europe,Eutelsat,,,,4/17/2000, Proton-K
36,E,Eutelsat W4,Europe,Eutelsat,,,,5/24/2000, Atlas IIIA
38,E,Paksat-1R,Pakistan,Space and Upper Atmosphere Research Commission,,,,8/11/2011, Long March 3B
39,E,Hellas Sat 2,Greece,,,,,5/13/2003, Atlas V (401)
40,E,Express AM1,Russia,Russian Satellite Communications Company (Intersputnik),,,,10/29/2004, Proton-M
42,E,Turksat 1C,Turkey,Turksat,Comsat,16 Ku band,,7/9/1996, Ariane 44L
42,E,Turksat 2A,Turkey,Turksat,Comsat,34 Ku band,,1/10/2001, Ariane 44P
45,E,Intelsat 12,Europe,ESA,,,,,
46,E,Azerspace-1/ Africasat-1a,Azerbaijan,Azercosmos[12],Broadcast and Telecommunications Satellite,C-band: Africa  Central Asia  the Middle East and Europe  Ku-band: Central Asia and Europe,,2/7/2013, Ariane 5 ECA
49,E,Yamal 202,Russia,Gazprom Space Systems (subsidiary of Gazprom),,,,11/24/2003, Proton-K
53,E,Express AM22,Russia,Russian Satellite Communications Company (Intersputnik)/Eutelsat,,,,12/28/2003, Proton-K
56,E,Bonum 1,Russia,,,,,11/22/1998, Delta II (7925-9.5)
62.6,E,Inmarsat-5 F1,UK,Inmarsat,Maritime and Aviation Communications,EAME,,12/8/2013, Proton M/Briz-M
64.5,E,Inmarsat-3 F1,UK,Inmarsat,Maritime and Aviation Communications,Indian Ocean Region,,4/3/1996, Atlas IIA|
66,W,Galaxy-27,US,Intelsat,Television broadcasting & Satellite Internet Access,,Inclined  collocated,9/25/1999, Ariane 44LP
66,W,Intelsat 17,,Intelsat,,,Replaces Intelsat 702,11/26/2010,
68.5,E,Intelsat 7,Europe,ESA,,,,9/16/1998, Ariane 44LP
68.5,E,Intelsat 10,US,,,,,5/15/2001, Proton-K
74,E,INSAT-3C,India,ISRO,,,,1/23/2002, Ariane 42L
74,E,KALPANA-1,India,ISRO,Weather satellite,N/A,Originally MetSat-1. Renamed in 2003 in memory of Kalpana Chawla  an astronaut killed in the Columbia accident,9/12/2002, PSLV
74,E,EDUSAT,India,ISRO,Educational communication satellite,6 Ka band and 6 C-band transmitters  covering India,Also known as GSAT-3,9/20/2004, GSLV
74,E,INSAT-4CR,India,ISRO,DTH  VPT and DSNG communication,12 Ku band covering India,,9/2/2007, GSLV
74,E,GSAT-18,India,ISRO,Comsat,24 C-band transponders  12 upper extended C-band transponders  12 Ku-band transponders  2 Ku-Beacon transmitters[14],Launched with Australian NBN-Co 1B,10/5/2015, Ariane 5 ECA[15]
75,E,ABS 1,,Lockheed Martin Intersputnik,,,,9/26/1999, Proton-K
79,E,Esafi 1,,Tongasat,Comsat,,Originally Comstar-4 for LMGT. Ranamed Parallax-1 in 2001 and operated by SSC Parallax. Purchased by Tongasat and renamed Esafi-1 in 2002,2/21/1981, Atlas-Centaur
80,E,Express AM2,Russia,Russian Satellite Communications Company (Intersputnik),,,,3/29/2005, Proton-K
90,E,Yamal 101,Russia,Gazprom Space Systems (subsidiary of Gazprom),,,,9/6/1999, Proton-K
90,E,Yamal 201,Russia,Gazprom Space Systems (subsidiary of Gazprom),,,,11/24/2003, Proton-K
91.5,E,MEASAT-3,Malaysia,MEASAT Satellite Systems,Broadcast and Telecommunications,C-band: Asia  Australia  Middle East  South Eastern Europe and Eastern Africa,,12/11/2006, Proton-M
91.5,E,MEASAT-3a,Malaysia,MEASAT Satellite Systems,Broadcast and Telecommunications,C-band: Asia  Australia  Middle East and Eastern Africa,,6/9/2020, Land Launch Zenit - 3SLB
92.2,,ChinaSat 9,China,China Satcom,Broadcast and Telecommunications,China,,6/9/2008, Long March 3B
96,E,Express AM33,Russia,Russian Satellite Communications Company (Intersputnik),,,,1/28/2008, Arianespace
105,E,AsiaStar,US,CMMB Vision (formerly 1worldspace),Television  radio  data,Southeast and South Asia,,3/21/2000, Proton-M
119.1,E,Bangabandhu-1,Bangladesh,Bangladesh Communication Satellite Company Limited,Communication and Broadcasting,Southeast and South Asia,,5/11/2018, Falcon 9 Block 5[16]
119.5,E,MEASAT-5,Malaysia,MEASAT Satellite Systems,Comsat,Malaysia,,8/5/2020, Ariane 5G
140,E,NBN-Co 1A,Australia,NBN Co,Comsat,101 Ka spot beams covering mainland Australia and some offshore territories[17],Launched with Argentine ARSAT-2[15],9/30/2015, Ariane 5 ECA[15]
140,E,Express AM3,Russia,Russian Satellite Communications Company (Intersputnik),,,,6/24/2005, Proton-K
145,E,NBN-Co 1B,Australia,NBN Co,Comsat,101 Ka spot beams covering mainland Australia and some offshore territories[17],Launched with Indian GSAT-18,10/5/2015, Ariane 5 ECA[15]
146,E,Agila 2,Philippines,Space Systems/Loral,Comsat  TV and Radio Broadcasting,Southeast Asia,,8/19/1997, Long March 3B
148,E,MEASAT-2,Malaysia,MEASAT Satellite Systems,Broadcast & Telecommunications,C-band: Asia Pacific and Hawaii,inclined orbit,11/13/1996, Ariane 44L
152,E,Optus B3,Australia,Optus/Commonwealth Bank,Comsat,,,8/27/1994, Long March 2E
152,E,Optus D2,Australia,Optus,Comsat,,,10/5/2007, Ariane 5GS
166,E,Intelsat 8,US,,,,,11/4/1998, Proton-K
178,E,Inmarsat-3 F3,UK,Inmarsat,Maritime and Aviation Communications,Pacific Ocean Region,,12/18/1996, Atlas IIA
65,W,Star One C1,Brazil,Star One,Broadcast comsat,28 C-band,,11/14/2007, Ariane 5 ECA
53,E,Skynet 5B,UK,Ministry of Defence/Paradigm,Military comsat,,,11/14/2007, Ariane 5 ECA
5,E,Sirius 4,Sweden,SES Sirius,Comsat,52 Ku band covering Europe,,11/17/2007, Proton-M
93.1,W,Galaxy-25,US,,,,,5/24/1997, Proton-K
105,W,Galaxy-15,US,Intelsat,Television/Radio Broadcasting  WAAS PRN #135,,133.0°W,10/13/2005, Ariane 5G
