PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LATITUDE,LONGITUDE
Single Family Residential,Buckeye,Arlington,TX,76001,345990,3,3,Mayfield Farms 65s,2425,,,,143,,http://www.redfin.com/TX/Arlington/Mayfield-Farms-65s/Buckeye/home/170461108,NewHomeSource.com,32.6282833,-97.1547052
Single Family Residential,Chessel JS,Arlington,TX,76002,438900,4,3.5,Mayfield Farms,3215,,,,137,,http://www.redfin.com/TX/Arlington/Mayfield-Farms/Chessel-JS/home/173082773,NewHomeSource.com,32.627165,-97.100941
Single Family Residential,Kensington,Arlington,TX,76005,437990,3,2.5,Viridian Executive,2445,,,,179,,http://www.redfin.com/TX/Arlington/Viridian-Executive/Kensington/home/169873414,NewHomeSource.com,32.79401,-97.083271
Single Family Residential,Bellaire,Arlington,TX,76005,436990,3,2.5,Viridian Chalet Series,2677,,,,163,,http://www.redfin.com/TX/Arlington/Viridian-Chalet-Series/Bellaire/home/169966730,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Sommerset,Arlington,TX,76002,320900,3,2,Will's Place,1842,,,,174,,http://www.redfin.com/TX/Arlington/Will-s-Place/Sommerset/home/173082774,NewHomeSource.com,32.635611,-97.102391
Single Family Residential,Shoal,Arlington,TX,76005,427990,3,2.5,Viridian Chalet Series,2360,,,,181,,http://www.redfin.com/TX/Arlington/Viridian-Chalet-Series/Shoal/home/169873961,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Cambium,Arlington,TX,76005,398990,3,2.5,Viridian Chalet Series,1994,,,,200,,http://www.redfin.com/TX/Arlington/Viridian-Chalet-Series/Cambium/home/169966734,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Cassidy,Arlington,TX,76005,401990,3,2,Viridian Executive,2003,,,,201,,http://www.redfin.com/TX/Arlington/Viridian-Executive/Cassidy/home/169873417,NewHomeSource.com,32.79401,-97.083271
Single Family Residential,Roseville,Arlington,TX,76005,429990,3,2.5,Elements at Viridian - Traditional Series,2917,,,,147,,http://www.redfin.com/TX/Euless/Elements-at-Viridian-Traditional-Series/Roseville/home/172410441,NewHomeSource.com,32.80966,-97.072842
Single Family Residential,Iredell,Arlington,TX,76005,386990,3,2,Viridian Chalet Series,1805,,,,214,,http://www.redfin.com/TX/Arlington/Viridian-Chalet-Series/Iredell/home/169966735,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Stratford,Arlington,TX,76005,505990,4,4.5,Viridian Executive Series,3200,,,,158,,http://www.redfin.com/TX/Arlington/Viridian-Executive-Series/Stratford/home/169873934,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Kaufman,Arlington,TX,76005,381990,3,2.5,Viridian Cottage,2419,,,,158,,http://www.redfin.com/TX/Arlington/Viridian-Cottage/Kaufman/home/169894469,NewHomeSource.com,32.79401,-97.083271
Single Family Residential,Everman,Arlington,TX,76005,443990,3,2.5,Viridian Executive,2586,,,,172,,http://www.redfin.com/TX/Arlington/Viridian-Executive/Everman/home/169873415,NewHomeSource.com,32.79401,-97.083271
Single Family Residential,Monticello,Arlington,TX,76005,497990,4,3.5,Viridian Executive Series,3158,,,,158,,http://www.redfin.com/TX/Arlington/Viridian-Executive-Series/Monticello/home/169966684,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Grayton,Arlington,TX,76005,373990,4,2.5,Viridian Cottage,2245,,,,167,,http://www.redfin.com/TX/Arlington/Viridian-Cottage/Grayton/home/169873419,NewHomeSource.com,32.79401,-97.083271
Single Family Residential,Charlotte,Arlington,TX,76005,475990,4,3,Viridian Executive Series,2781,,,,171,,http://www.redfin.com/TX/Arlington/Viridian-Executive-Series/Charlotte/home/169966682,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Plan 242,Arlington,TX,76005,577990,4,3,Viridian: 60ft. lots,2993,,,,193,,http://www.redfin.com/TX/Arlington/Viridian-60ft-lots/Plan-242/home/169931374,NewHomeSource.com,32.796195,-97.077671
Single Family Residential,Plan 248H,Arlington,TX,76005,622990,4,3,Viridian: 60ft. lots,3565,,,,175,,http://www.redfin.com/TX/Arlington/Viridian-60ft-lots/Plan-248H/home/169872870,NewHomeSource.com,32.796195,-97.077671
Single Family Residential,Brayden,Arlington,TX,76005,675900,4,4,Viridian - 65',4027,,,,168,,http://www.redfin.com/TX/Arlington/Viridian-65/Brayden/home/169871069,NewHomeSource.com,32.795726,-97.092054
Single Family Residential,Cambria II,Arlington,TX,76005,628900,4,4.5,Viridian - 65',3972,,,,158,,http://www.redfin.com/TX/Arlington/Viridian-65/Cambria-II/home/169961897,NewHomeSource.com,32.795726,-97.092054
