PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LATITUDE,LONGITUDE
Single Family Residential,Hamlin,Arlington,TX,76005,700990,4,3.5,Viridian Island 70' Homesites,3817,,,,184,,http://www.redfin.com/TX/Arlington/Viridian-Island-70-Homesites/Hamlin/home/172067497,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Hazelwood,Arlington,TX,76005,371990,3,2.5,Viridian Cottage,2084,,,,178,,http://www.redfin.com/TX/Arlington/Viridian-Cottage/Hazelwood/home/169931478,NewHomeSource.com,32.79401,-97.083271
Single Family Residential,Plan 220,Arlington,TX,76005,595990,4,3,Viridian: 60ft. lots,3264,,,,183,,http://www.redfin.com/TX/Arlington/Viridian-60ft-lots/Plan-220/home/170032687,NewHomeSource.com,32.796195,-97.077671
Single Family Residential,Ames,Arlington,TX,76005,675990,4,3.5,Viridian Island 70' Homesites,3465,,,,195,,http://www.redfin.com/TX/Arlington/Viridian-Island-70-Homesites/Ames/home/172067498,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Malone,Arlington,TX,76005,303990,2,2,Viridian,1569,,,,194,,http://www.redfin.com/TX/Arlington/Viridian/Malone/home/170688816,NewHomeSource.com,32.795547,-97.078378
Single Family Residential,Plan 214,Arlington,TX,76005,571990,4,3,Viridian: 60ft. lots,2863,,,,200,,http://www.redfin.com/TX/Arlington/Viridian-60ft-lots/Plan-214/home/170032688,NewHomeSource.com,32.796195,-97.077671
Single Family Residential,Plan 309,Arlington,TX,76005,430990,4,3.5,Viridian: 40ft. lots,2455,,,,176,,http://www.redfin.com/TX/Arlington/Viridian-40ft-lots/Plan-309/home/169964311,NewHomeSource.com,32.795013,-97.078578
Single Family Residential,Hedley,Arlington,TX,76005,663990,4,3.5,Viridian Island 70' Homesites,3212,,,,207,,http://www.redfin.com/TX/Arlington/Viridian-Island-70-Homesites/Hedley/home/172067499,NewHomeSource.com,32.795238,-97.078523
Single Family Residential,Hazelbrook,Arlington,TX,76005,492990,4,3.5,Viridian Classics,3517,,,,140,,http://www.redfin.com/TX/Arlington/Viridian-Classics/Hazelbrook/home/169873400,NewHomeSource.com,32.79401,-97.083271
Single Family Residential,Plan 213,Arlington,TX,76005,568990,4,3,Viridian: 60ft. lots,2800,,,,203,,http://www.redfin.com/TX/Arlington/Viridian-60ft-lots/Plan-213/home/170032689,NewHomeSource.com,32.796195,-97.077671
Single Family Residential,Kinsely,Arlington,TX,76002,312900,3,2,Will's Place,1730,,,,181,,http://www.redfin.com/TX/Arlington/Will-s-Place/Kinsely/home/173774016,NewHomeSource.com,32.635611,-97.102391
