BroadCat,SubCat,Occupation title (click on the occupation title to view its profile),Level,Employment,"Employment per 1,000 jobs",Mean hourly wage,Annual mean wage
19,1020,Biological Scientists,broad,109040,0.8,41.54,86390
39,9041,Residential Advisors,detail,108380,0.7,14.41,29970
15,1122,Information Security Analysts,detail,108060,0.7,49.26,102470
21,1015,Rehabilitation Counselors,detail,106860,0.7,19.2,39930
29,2056,Veterinary Technologists and Technicians,detail,106680,0.7,17.1,35560
25,9099,"Education, Training, and Library Workers, All Other",detail,106590,0.7,22.44,46680
29,9010,Occupational Health and Safety Specialists and Technicians,broad,106410,0.7,34.43,71610
31,9011,Massage Therapists,detail,105160,0.7,22.06,45880
49,9098,"Helpers--Installation, Maintenance, and Repair Workers",detail,105040,0.7,15.09,31390
41,9090,Miscellaneous Sales and Related Workers,broad,105120,0.7,19.19,39910
17,1011,"Architects, Except Landscape and Naval",detail,104360,0.7,42.72,88860
15,2031,Operations Research Analysts,detail,104200,0.7,42.48,88350
47,4011,Construction and Building Inspectors,detail,104090,0.7,30.36,63150
43,5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detail,103830,0.7,24.64,51250
33,3021,Detectives and Criminal Investigators,detail,103450,0.7,40.88,85020
49,2011,"Computer, Automated Teller, and Office Machine Repairers",detail,102810,0.7,19.65,40880
51,7011,Cabinetmakers and Bench Carpenters,detail,102100,0.7,17.59,36580
47,2081,Drywall and Ceiling Tile Installers,detail,101900,0.7,23.64,49170
37,1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detail,101390,0.7,24.66,51280
51,4190,Miscellaneous Metal Workers and Plastic Workers,broad,100470,0.7,18.24,37940
21,1099,"Community and Social Service Specialists, All Other",detail,98170,0.7,22.14,46050
51,9196,"Paper Goods Machine Setters, Operators, and Tenders",detail,97960,0.7,19.38,40320
17,3011,Architectural and Civil Drafters,detail,97610,0.7,27.26,56700
13,2053,Insurance Underwriters,detail,96040,0.7,36.96,76880
27,3041,Editors,detail,95750,0.7,33.41,69480
41,9099,"Sales and Related Workers, All Other",detail,95690,0.7,19.46,40480
43,5031,"Police, Fire, and Ambulance Dispatchers",detail,95020,0.7,20.81,43290
25,1121,"Art, Drama, and Music Teachers, Postsecondary",detail,94310,0.7,4.11,82560
31,2021,Physical Therapist Assistants,detail,94250,0.7,27.77,57750
51,8090,Miscellaneous Plant and System Operators,broad,94010,0.7,31.94,66430
39,3011,Gaming Dealers,detail,92530,0.6,11.09,23070
43,5011,Cargo and Freight Agents,detail,92280,0.6,22.15,46070
19,2030,Chemists and Materials Scientists,broad,92300,0.6,41.06,85400
27,1010,Artists and Related Workers,broad,90990,0.6,40.83,84930
31,9096,Veterinary Assistants and Laboratory Animal Caretakers,detail,89480,0.6,13.79,28690
43,4121,"Library Assistants, Clerical",detail,88970,0.6,13.92,28960
31,9099,"Healthcare Support Workers, All Other",detail,88990,0.6,18.8,39110
25,4031,Library Technicians,detail,88690,0.6,17.34,36080
51,9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detail,88560,0.6,17.55,36510
29,9011,Occupational Health and Safety Specialists,detail,88390,0.6,36.03,74940
25,2053,"Special Education Teachers, Middle School",detail,87870,0.6,3.21,64390
21,1092,Probation Officers and Correctional Treatment Specialists,detail,87660,0.6,28.27,58790
43,9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detail,86150,0.6,15.41,32040
41,9010,"Models, Demonstrators, and Product Promoters",broad,84560,0.6,15.96,33200
19,2031,Chemists,detail,84560,0.6,40.31,83850
25,1011,"Business Teachers, Postsecondary",detail,84230,0.6,5.15,103330
47,2040,"Carpet, Floor, and Tile Installers and Finishers",broad,83740,0.6,21.79,45330
25,1020,"Math and Computer Teachers, Postsecondary",broad,83690,0.6,4.51,90650
13,1141,"Compensation, Benefits, and Job Analysis Specialists",detail,83550,0.6,32.65,67910
17,3029,"Engineering Technicians, Except Drafters, All Other",detail,83360,0.6,31.6,65720
53,2011,"Airline Pilots, Copilots, and Flight Engineers",detail,82890,0.6,8.44,169560
51,9011,Chemical Equipment Operators and Tenders,detail,82880,0.6,24.55,51070
41,9011,Demonstrators and Product Promoters,detail,81250,0.6,15.99,33260
19,2041,"Environmental Scientists and Specialists, Including Health",detail,80480,0.6,37.3,77580
49,9043,"Maintenance Workers, Machinery",detail,80270,0.6,23.42,48720
39,6010,"Baggage Porters, Bellhops, and Concierges",broad,79840,0.6,14.46,30070
33,9091,Crossing Guards,detail,79880,0.6,15.37,31970
51,7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detail,78980,0.5,14.96,31110
47,5010,"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining",broad,79030,0.5,25.46,52950
43,5051,Postal Service Clerks,detail,78830,0.5,24.45,50860
33,1099,"First-Line Supervisors of Protective Service Workers, All Other",detail,78610,0.5,25.35,52730
27,3090,Miscellaneous Media and Communication Workers,broad,77560,0.5,26.2,54490
25,2032,"Career/Technical Education Teachers, Secondary School",detail,77460,0.5,3.13,62810
19,4021,Biological Technicians,detail,77450,0.5,23.1,48060
47,2221,Structural Iron and Steel Workers,detail,77410,0.5,27.97,58170
37,2021,Pest Control Workers,detail,77300,0.5,18.24,37950
51,9080,"Medical, Dental, and Ophthalmic Laboratory Technicians",broad,77110,0.5,19.15,39840
13,1075,Labor Relations Specialists,detail,77140,0.5,34.01,70730
47,2020,"Brickmasons, Blockmasons, and Stonemasons",broad,76240,0.5,25.39,52810
51,2041,Structural Metal Fabricators and Fitters,detail,76090,0.5,20.02,41640
47,3013,Helpers--Electricians,detail,75970,0.5,15.84,32960
27,4011,Audio and Video Equipment Technicians,detail,75940,0.5,23.53,48940
43,5021,Couriers and Messengers,detail,75720,0.5,14.72,30620
13,1131,Fundraisers,detail,75700,0.5,29.62,61610
51,3023,Slaughterers and Meat Packers,detail,75550,0.5,13.68,28450
51,6060,"Textile Machine Setters, Operators, and Tenders",broad,75490,0.5,14.37,29880
51,4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detail,75610,0.5,17.61,36620
13,2041,Credit Analysts,detail,74820,0.5,39.57,82300
49,9010,Control and Valve Installers and Repairers,broad,74400,0.5,25.7,53460
51,9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detail,72870,0.5,17.69,36800
51,4111,Tool and Die Makers,detail,72700,0.5,25.79,53650
48153,,Public Relations and Fundraising Managers,detail,72460,0.5,63.26,131570
29,2081,"Opticians, Dispensing",detail,72250,0.5,19.2,39930
49,9060,Precision Instrument and Equipment Repairers,broad,72010,0.5,24.58,51120
51,4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,71870,0.5,17.64,36690
43,2011,"Switchboard Operators, Including Answering Service",detail,71600,0.5,15.04,31290
51,6090,"Miscellaneous Textile, Apparel, and Furnishings Workers",broad,71570,0.5,17.18,35740
29,2053,Psychiatric Technicians,detail,71360,0.5,18.15,37760
51,9030,Cutting Workers,broad,71420,0.5,16.87,35090
17,3022,Civil Engineering Technicians,detail,71150,0.5,26.29,54670
29,2032,Diagnostic Medical Sonographers,detail,71130,0.5,35.51,73860
29,1131,Veterinarians,detail,71060,0.5,50.59,105240
49,2098,Security and Fire Alarm Systems Installers,detail,70900,0.5,23.34,48540
41,3041,Travel Agents,detail,69480,0.5,20.54,42720
424353,,Purchasing Managers,detail,69490,0.5,60.4,125630
49,3050,Small Engine Mechanics,broad,69130,0.5,18.84,39180
25,1123,"English Language and Literature Teachers, Postsecondary",detail,68360,0.5,3.89,78150
43,3061,Procurement Clerks,detail,68100,0.5,20.76,43180
13,2082,Tax Preparers,detail,68090,0.5,22.53,46860
17,3026,Industrial Engineering Technicians,detail,66540,0.5,28.3,58860
53,7063,Machine Feeders and Offbearers,detail,66380,0.5,15.24,31710
43,5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detail,65830,0.5,16.39,34100
33,1021,First-Line Supervisors of Fire Fighting and Prevention Workers,detail,65920,0.5,38.61,80310
41,9031,Sales Engineers,detail,65720,0.5,52.22,108610
25,1080,"Education and Library Science Teachers, Postsecondary",broad,65570,0.5,3.68,73800
19,4031,Chemical Technicians,detail,65500,0.5,24.84,51670
19,4099,"Life, Physical, and Social Science Technicians, All Other",detail,65220,0.5,25.45,52940
25,1040,"Life Sciences Teachers, Postsecondary",broad,64660,0.4,4.79,96110
29,1031,Dietitians and Nutritionists,detail,64670,0.4,29.43,61210
47,2021,Brickmasons and Blockmasons,detail,63930,0.4,26.17,54430
17,2011,Aerospace Engineers,detail,63960,0.4,56.3,117100
29,9090,Miscellaneous Health Practitioners and Technical Workers,broad,62210,0.4,27.89,58000
25,1081,"Education Teachers, Postsecondary",detail,60930,0.4,3.67,73680
51,9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detail,60840,0.4,17.16,35700
17,2061,Computer Hardware Engineers,detail,60750,0.4,56.66,117840
2637722,,Natural Sciences Managers,detail,60260,0.4,67.16,139680
49,2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detail,59520,0.4,28.47,59210
39,9099,"Personal Care and Service Workers, All Other",detail,58970,0.4,13.59,28270
21,1091,Health Educators,detail,58780,0.4,28.68,59660
13,2061,Financial Examiners,detail,58590,0.4,43.42,90310
13,2021,Appraisers and Assessors of Real Estate,detail,57900,0.4,29.75,61870
25,3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detail,57750,0.4,27.94,58110
21,1029,"Social Workers, All Other",detail,57440,0.4,30.12,62660
27,3091,Interpreters and Translators,detail,57140,0.4,26.55,55230
27,1025,Interior Designers,detail,57070,0.4,28.42,59120
31,1013,Psychiatric Aides,detail,56910,0.4,14.95,31090
53,3099,"Motor Vehicle Operators, All Other",detail,56810,0.4,17.14,35640
29,2031,Cardiovascular Technologists and Technicians,detail,56560,0.4,28.24,58730
47,2130,Insulation Workers,broad,56440,0.4,22.55,46910
17,1020,"Surveyors, Cartographers, and Photogrammetrists",broad,56360,0.4,32.12,66810
21,1094,Community Health Workers,detail,56130,0.4,20.9,43480
17,3013,Mechanical Drafters,detail,56170,0.4,28.37,59010
35,9099,"Food Preparation and Serving Related Workers, All Other",detail,55980,0.4,12.23,25430
25,1072,"Nursing Instructors and Teachers, Postsecondary",detail,55710,0.4,4.05,81350
51,9122,"Painters, Transportation Equipment",detail,55710,0.4,22.34,46460
31,9093,Medical Equipment Preparers,detail,55610,0.4,18.27,37990
43,4011,Brokerage Clerks,detail,55100,0.4,25.93,53940
47,5071,"Roustabouts, Oil and Gas",detail,54810,0.4,19.34,40220
47,3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detail,54710,0.4,15.66,32570
13,2081,"Tax Examiners and Collectors, and Revenue Agents",detail,54550,0.4,29.09,60500
27,2040,"Musicians, Singers, and Related Workers",broad,53840,0.4,35.53,-4
31,9094,Medical Transcriptionists,detail,53730,0.4,17.48,36350
43,9022,Word Processors and Typists,detail,53130,0.4,19.79,41160
17,2081,Environmental Engineers,detail,53070,0.4,44.54,92640
29,2057,Ophthalmic Medical Technicians,detail,52890,0.4,18.38,38220
13,2031,Budget Analysts,detail,52810,0.4,38.38,79830
51,7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detail,52260,0.4,15,31200
17,3031,Surveying and Mapping Technicians,detail,52300,0.4,22.93,47690
23,2093,"Title Examiners, Abstractors, and Searchers",detail,52180,0.4,24.7,51380
25,1050,"Physical Sciences Teachers, Postsecondary",broad,52160,0.4,4.84,97280
25,1042,"Biological Science Teachers, Postsecondary",detail,51770,0.4,4.85,97340
51,8010,"Power Plant Operators, Distributors, and Dispatchers",broad,51820,0.4,39.31,81760
49,9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detail,51730,0.4,27.83,57890
19,3090,Miscellaneous Social Scientists and Related Workers,broad,51640,0.4,41.02,85320
25,1022,"Mathematical Science Teachers, Postsecondary",detail,51250,0.4,4.34,87140
47,2121,Glaziers,detail,50940,0.4,23.38,48620
21,2011,Clergy,detail,50960,0.4,25.62,53290
39,5094,Skincare Specialists,detail,50740,0.4,17.48,36350
2604850,,"Education Administrators, Preschool and Childcare Center/Program",detail,50650,0.4,25.96,53990
11,1031,Legislators,detail,50330,0.3,2.37,47620
31,2010,Occupational Therapy Assistants and Aides,broad,50360,0.3,27,56150
27,3042,Technical Writers,detail,50350,0.3,36.3,75500
31,1015,Orderlies,detail,50100,0.3,14.35,29840
39,7010,Tour and Travel Guides,broad,49740,0.3,14.25,29630
51,9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detail,49770,0.3,21.22,44140
53,7030,"Dredge, Excavating, and Loading Machine Operators",broad,49780,0.3,23.46,48790
47,5013,"Service Unit Operators, Oil, Gas, and Mining",detail,49710,0.3,25.38,52780
27,4021,Photographers,detail,49560,0.3,20.56,42770
27,4030,"Television, Video, and Motion Picture Camera Operators and Editors",broad,49240,0.3,36.58,76090
23,1020,"Judges, Magistrates, and Other Judicial Workers",broad,49040,0.3,52.49,109170
43,9071,"Office Machine Operators, Except Computer",detail,48580,0.3,16.6,34530
21,1013,Marriage and Family Therapists,detail,48520,0.3,26.03,54150
51,2031,Engine and Other Machine Assemblers,detail,48200,0.3,21.79,45330
27,2011,Actors,detail,47430,0.3,29.34,-4
31,2022,Physical Therapist Aides,detail,47260,0.3,13.7,28500
47,2071,"Paving, Surfacing, and Tamping Equipment Operators",detail,46760,0.3,21.32,44360
49,9062,Medical Equipment Repairers,detail,46320,0.3,25.34,52710
53,7032,Excavating and Loading Machine and Dragline Operators,detail,46090,0.3,23.4,48680
51,5113,Print Binding and Finishing Workers,detail,45690,0.3,16.76,34850
33,9093,Transportation Security Screeners,detail,45250,0.3,20.13,41860
17,1022,Surveyors,detail,45310,0.3,31.94,66440
27,3043,Writers and Authors,detail,45210,0.3,35.14,73090
25,1030,"Engineering and Architecture Teachers, Postsecondary",broad,44420,0.3,5.55,111450
25,1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,44500,0.3,4.79,96110
53,7021,Crane and Tower Operators,detail,44410,0.3,27.96,58160
47,4041,Hazardous Materials Removal Workers,detail,44000,0.3,22.62,47050
49,9044,Millwrights,detail,43810,0.3,27.04,56250
33,1011,First-Line Supervisors of Correctional Officers,detail,43760,0.3,32.86,68350
29,1151,Nurse Anesthetists,detail,43520,0.3,84.03,174790
27,1023,Floral Designers,detail,43360,0.3,13.9,28900
51,2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detail,43150,0.3,26.7,55530
23,2099,"Legal Support Workers, All Other",detail,43150,0.3,34.34,71420
27,3020,"News Analysts, Reporters and Correspondents",broad,43030,0.3,29.1,60530
31,2011,Occupational Therapy Assistants,detail,42660,0.3,29.04,60410
19,1029,"Biological Scientists, All Other",detail,42640,0.3,40.19,83600
51,3099,"Food Processing Workers, All Other",detail,42620,0.3,13.26,27590
51,9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detail,42500,0.3,16.92,35190
39,6011,Baggage Porters and Bellhops,detail,42350,0.3,12.98,26990
37,3013,Tree Trimmers and Pruners,detail,42440,0.3,19.47,40510
53,4031,Railroad Conductors and Yardmasters,detail,42360,0.3,31.77,66080
27,2042,Musicians and Singers,detail,41680,0.3,37.51,-4
43,4141,New Accounts Clerks,detail,41500,0.3,17.79,37000
17,3027,Mechanical Engineering Technicians,detail,41460,0.3,28,58240
53,4010,Locomotive Engineers and Operators,broad,41090,0.3,31.37,65240
2607772,,"Education Administrators, All Other",detail,41000,0.3,43.06,89570
41,9021,Real Estate Brokers,detail,40320,0.3,37.95,78940
27,1011,Art Directors,detail,40210,0.3,50.29,104590
51,4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",detail,40070,0.3,16.74,34830
15,2041,Statisticians,detail,39920,0.3,44.52,92600
47,2044,Tile and Marble Setters,detail,39130,0.3,22.09,45950
53,5020,Ship and Boat Captains and Operators,broad,38910,0.3,38.61,80310
51,8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detail,38930,0.3,33.96,70630
29,2035,Magnetic Resonance Imaging Technologists,detail,38540,0.3,34.73,72230
51,6021,"Pressers, Textile, Garment, and Related Materials",detail,38320,0.3,11.57,24060
45,2041,"Graders and Sorters, Agricultural Products",detail,38210,0.3,12.74,26510
47,2151,Pipelayers,detail,38070,0.3,20.91,43500
53,2012,Commercial Pilots,detail,37870,0.3,4.81,96530
45,2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detail,37780,0.3,13.87,28840
19,3051,Urban and Regional Planners,detail,37840,0.3,36.65,76240
29,1063,"Internists, General",detail,37820,0.3,94.47,196490
25,1066,"Psychology Teachers, Postsecondary",detail,37630,0.3,4.41,88490
25,1032,"Engineering Teachers, Postsecondary",detail,37530,0.3,5.66,113680
39,6012,Concierges,detail,37490,0.3,16.13,33550
53,6099,"Transportation Workers, All Other",detail,37560,0.3,20.61,42870
45,4020,Logging Workers,broad,37400,0.3,20.36,42340
27,3022,Reporters and Correspondents,detail,37140,0.3,26.7,55530
29,1041,Optometrists,detail,37220,0.3,57.68,119980
2623113,,Lodging Managers,detail,37050,0.3,29.94,62270
31,9095,Pharmacy Aides,detail,36970,0.3,14.03,29190
25,2059,"Special Education Teachers, All Other",detail,36800,0.3,3.11,62500
29,1199,"Health Diagnosing and Treating Practitioners, All Other",detail,36680,0.3,41.16,85600
53,5021,"Captains, Mates, and Pilots of Water Vessels",detail,36390,0.3,39.61,82380
13,2071,Credit Counselors,detail,35740,0.2,23.95,49820
449919,,Training and Development Managers,detail,35690,0.2,58.53,121730
19,3099,"Social Scientists and Related Workers, All Other",detail,35530,0.2,41.22,85750
39,4021,Funeral Attendants,detail,35340,0.2,13.69,28480
27,3010,Announcers,broad,35260,0.2,23.54,48960
51,4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detail,35080,0.2,18.83,39160
53,4011,Locomotive Engineers,detail,34850,0.2,32.17,66920
43,9011,Computer Operators,detail,34700,0.2,22.47,46750
29,1011,Chiropractors,detail,34740,0.2,41.28,85870
19,4061,Social Science Research Assistants,detail,34550,0.2,24.24,50420
29,1067,Surgeons,detail,34390,0.2,122.65,255110
51,9081,Dental Laboratory Technicians,detail,34480,0.2,20.76,43180
49,3041,Farm Equipment Mechanics and Service Technicians,detail,34300,0.2,20.29,42190
51,8013,Power Plant Operators,detail,33920,0.2,37.51,78030
29,2051,Dietetic Technicians,detail,33540,0.2,14.49,30130
43,5041,"Meter Readers, Utilities",detail,33570,0.2,21.46,44640
47,4090,Miscellaneous Construction and Related Workers,broad,33340,0.2,20.68,43000
27,1021,Commercial and Industrial Designers,detail,33200,0.2,34.34,71430
47,3012,Helpers--Carpenters,detail,33020,0.2,15.32,31850
51,6093,Upholsterers,detail,32870,0.2,17.27,35920
49,9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",detail,32920,0.2,17.49,36390
29,9099,"Healthcare Practitioners and Technical Workers, All Other",detail,32680,0.2,30.45,63340
19,4091,"Environmental Science and Protection Technicians, Including Health",detail,32600,0.2,24.21,50350
17,2171,Petroleum Engineers,detail,32510,0.2,75.18,156370
25,1021,"Computer Science Teachers, Postsecondary",detail,32430,0.2,4.79,96200
53,2020,Air Traffic Controllers and Airfield Operations Specialists,broad,32360,0.2,48.61,101100
51,3093,Food Cooking Machine Operators and Tenders,detail,32260,0.2,15.23,31690
53,5011,Sailors and Marine Oilers,detail,32220,0.2,22.2,46180
17,2041,Chemical Engineers,detail,32060,0.2,55.03,114470
51,9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detail,31890,0.2,18.3,38060
47,2131,"Insulation Workers, Floor, Ceiling, and Wall",detail,31840,0.2,20.23,42070
51,6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detail,31650,0.2,14.26,29660
49,3053,Outdoor Power Equipment and Other Small Engine Mechanics,detail,31760,0.2,17.76,36940
25,4010,"Archivists, Curators, and Museum Technicians",broad,31760,0.2,25.61,53280
51,8021,Stationary Engineers and Boiler Operators,detail,31710,0.2,30.62,63690
27,4012,Broadcast Technicians,detail,31580,0.2,22.48,46770
29,1061,Anesthesiologists,detail,31060,0.2,128.38,267020
49,9031,Home Appliance Repairers,detail,31130,0.2,19.72,41020
43,3099,"Financial Clerks, All Other",detail,31010,0.2,21,43670
33,9021,Private Detectives and Investigators,detail,30990,0.2,27.31,56810
19,1010,Agricultural and Food Scientists,broad,30880,0.2,34.24,71230
19,1030,Conservation Scientists and Foresters,broad,30600,0.2,31.12,64720
39,1010,First-Line Supervisors of Gaming Workers,broad,30330,0.2,24.16,50250
51,9022,"Grinding and Polishing Workers, Hand",detail,30280,0.2,15.34,31900
19,4093,Forest and Conservation Technicians,detail,30220,0.2,19.28,40110
15,1111,Computer and Information Research Scientists,detail,30070,0.2,59.54,123850
43,4041,"Credit Authorizers, Checkers, and Clerks",detail,29980,0.2,19.55,40670
51,5111,Prepress Technicians and Workers,detail,29990,0.2,20.31,42240
53,6051,Transportation Inspectors,detail,29990,0.2,36.22,75330
51,4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detail,29510,0.2,19.76,41090
19,2042,"Geoscientists, Except Hydrologists and Geographers",detail,29260,0.2,51.83,107800
25,1122,"Communications Teachers, Postsecondary",detail,29100,0.2,3.89,78090
27,1014,Multimedia Artists and Animators,detail,28560,0.2,37.61,78230
19,1021,Biochemists and Biophysicists,detail,28500,0.2,50.93,105940
23,1023,"Judges, Magistrate Judges, and Magistrates",detail,28520,0.2,58.23,121130
29,1065,"Pediatricians, General",detail,28490,0.2,88.1,183240
51,8091,Chemical Plant and System Operators,detail,28190,0.2,29.6,61570
27,4032,Film and Video Editors,detail,28160,0.2,41.75,86830
51,9083,Ophthalmic Laboratory Technicians,detail,27960,0.2,16.58,34490
27,3011,Radio and Television Announcers,detail,27780,0.2,24.82,51630
53,7070,Pumping Station Operators,broad,27560,0.2,25.24,52510
53,7199,"Material Moving Workers, All Other",detail,27010,0.2,16.83,35000
47,4071,Septic Tank Servicers and Sewer Pipe Cleaners,detail,27090,0.2,19.97,41530
29,9091,Athletic Trainers,detail,26890,0.2,2.45,49280
17,2131,Materials Engineers,detail,26930,0.2,46.6,96930
47,4021,Elevator Installers and Repairers,detail,26830,0.2,38.16,79370
51,4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detail,26700,0.2,19.61,40790
51,6050,"Tailors, Dressmakers, and Sewers",broad,26500,0.2,16.04,33350
21,1019,"Counselors, All Other",detail,26530,0.2,22.95,47740
47,3019,"Helpers, Construction Trades, All Other",detail,26320,0.2,15.56,32370
17,2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detail,26230,0.2,45.01,93630
45,2091,Agricultural Equipment Operators,detail,26060,0.2,15.68,32620
49,2097,Electronic Home Entertainment Equipment Installers and Repairers,detail,26070,0.2,19.13,39800
47,2041,Carpet Installers,detail,26100,0.2,21.42,44550
51,9071,Jewelers and Precious Stone and Metal Workers,detail,25910,0.2,20.95,43570
51,9141,Semiconductor Processors,detail,25730,0.2,19.14,39810
45,4022,Logging Equipment Operators,detail,25730,0.2,20.12,41840
39,4031,"Morticians, Undertakers, and Funeral Directors",detail,25740,0.2,27.7,57620
29,1066,Psychiatrists,detail,25630,0.2,105.95,220380
25,1124,"Foreign Language and Literature Teachers, Postsecondary",detail,25590,0.2,3.94,79160
53,6061,"Transportation Attendants, Except Flight Attendants",detail,25460,0.2,14.73,30640
51,4199,"Metal Workers and Plastic Workers, All Other",detail,25470,0.2,18.34,38140
51,4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",broad,25520,0.2,19.79,41160
40848,,Advertising and Promotions Managers,detail,25260,0.2,63.99,133090
47,2161,Plasterers and Stucco Masons,detail,24870,0.2,22.89,47610
17,3012,Electrical and Electronics Drafters,detail,24900,0.2,30.96,64400
49,3043,Rail Car Repairers,detail,24720,0.2,26.93,56020
47,2132,"Insulation Workers, Mechanical",detail,24610,0.2,25.57,53180
37,3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detail,24500,0.2,18.37,38210
47,3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detail,24340,0.2,17.5,36390
51,9197,Tire Builders,detail,23920,0.2,21.89,45530
51,4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",detail,23770,0.2,27.07,56300
47,4031,Fence Erectors,detail,23530,0.2,18.1,37650
25,2051,"Special Education Teachers, Preschool",detail,23480,0.2,3.07,61610
53,7011,Conveyor Operators and Tenders,detail,23390,0.2,16.88,35110
25,1126,"Philosophy and Religion Teachers, Postsecondary",detail,23100,0.2,4.10,82420
49,2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detail,22980,0.2,38.48,80040
47,5040,Mining Machine Operators,broad,22910,0.2,25.53,53090
49,9011,Mechanical Door Repairers,detail,22670,0.2,20.84,43350
53,2021,Air Traffic Controllers,detail,22390,0.2,58.09,120830
49,3051,Motorboat Mechanics and Service Technicians,detail,22280,0.2,20.35,42330
19,1031,Conservation Scientists,detail,22200,0.2,31.4,65320
41,2012,Gaming Change Persons and Booth Cashiers,detail,22020,0.2,13.09,27220
45,1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detail,21800,0.2,24.42,50790
21,2021,"Directors, Religious Activities and Education",detail,21700,0.2,22.59,46980
25,1052,"Chemistry Teachers, Postsecondary",detail,21370,0.1,4.60,92360
19,4011,Agricultural and Food Science Technicians,detail,21290,0.1,21.24,44170
51,6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detail,21190,0.1,14.65,30470
51,6052,"Tailors, Dressmakers, and Custom Sewers",detail,21150,0.1,16.5,34330
51,2091,Fiberglass Laminators and Fabricators,detail,21190,0.1,17.39,36170
27,4031,"Camera Operators, Television, Video, and Motion Picture",detail,21080,0.1,29.69,61750
51,3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detail,21060,0.1,15.74,32730
49,9096,Riggers,detail,20970,0.1,24.68,51330
15,2011,Actuaries,detail,20760,0.1,55.89,116250
25,1125,"History Teachers, Postsecondary",detail,20510,0.1,4.18,83990
27,3099,"Media and Communication Workers, All Other",detail,20420,0.1,25.21,52430
39,5011,Barbers,detail,20130,0.1,15.97,33220
19,1022,Microbiologists,detail,20030,0.1,39.02,81150
19,2010,Astronomers and Physicists,broad,19770,0.1,59.48,123730
49,3022,Automotive Glass Installers and Repairers,detail,19640,0.1,17.49,36370
51,4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detail,19690,0.1,18.77,39050
27,1022,Fashion Designers,detail,19750,0.1,42.12,87610
51,4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detail,19440,0.1,21.39,44490
27,2023,"Umpires, Referees, and Other Sports Officials",detail,19090,0.1,1.81,36440
33,3011,Bailiffs,detail,18900,0.1,23.97,49870
17,2031,Biomedical Engineers,detail,18970,0.1,45.72,95090
29,1125,Recreational Therapists,detail,18840,0.1,24.34,50640
49,2091,Avionics Technicians,detail,18860,0.1,31.41,65330
29,2033,Nuclear Medicine Technologists,detail,18810,0.1,37.92,78870
27,4099,"Media and Communication Equipment Workers, All Other",detail,18790,0.1,37.06,77080
17,1012,Landscape Architects,detail,18660,0.1,35.17,73160
19,3011,Economists,detail,18650,0.1,55.78,116020
29,1064,Obstetricians and Gynecologists,detail,18590,0.1,114.58,238320
35,2019,"Cooks, All Other",detail,18570,0.1,14.6,30360
51,4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detail,18330,0.1,19.6,40770
