BroadCat,SubCat,Occupation title (click on the occupation title to view its profile),Level,Employment,"Employment per 1,000 jobs",Mean hourly wage,Annual mean wage
35,3011,Bartenders,detail,631480,4.4,12.88,26780
15,1151,Computer User Support Specialists,detail,630700,4.4,26.46,55050
15,1140,Database and Systems Administrators and Network Architects,broad,629020,4.3,45.09,93780
51,1011,First-Line Supervisors of Production and Operating Workers,detail,622790,4.3,30.93,64340
44136,,Marketing and Sales Managers,broad,619500,4.3,68.75,143000
25,2022,"Middle School Teachers, Except Special and Career/Technical Education",detail,609970,4.2,3.09,62030
413395,,Financial Managers,detail,608120,4.2,70.59,146830
53,7051,Industrial Truck and Tractor Operators,detail,604130,4.2,17.54,36480
13,2050,Financial Analysts and Advisors,broad,602500,4.2,50.03,104050
47,1011,First-Line Supervisors of Construction Trades and Extraction Workers,detail,598210,4.1,33.91,70540
13,1071,Human Resources Specialists,detail,593790,4.1,32.11,66790
15,1121,Computer Systems Analysts,detail,587970,4.1,45.01,93610
25,3098,Substitute Teachers,detail,587240,4.1,15.56,32360
43,6013,Medical Secretaries,detail,585410,4.0,17.83,37090
43,6011,Executive Secretaries and Executive Administrative Assistants,detail,570530,3.9,29.59,61550
39,9011,Childcare Workers,detail,564630,3.9,11.83,24610
51,9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detail,557510,3.9,20.2,42010
25,2010,Preschool and Kindergarten Teachers,broad,555680,3.8,19.26,40070
43,5050,Postal Service Workers,broad,525070,3.6,24.78,51540
27,1020,Designers,broad,519180,3.6,24.05,50020
35,9021,Dishwashers,detail,504770,3.5,11.15,23190
53,3022,"Bus Drivers, School or Special Client",detail,504150,3.5,16.05,33390
2604485,,Education Administrators,broad,498200,3.4,46.65,97030
49,9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",broad,487640,3.4,25.64,53330
35,2011,"Cooks, Fast Food",detail,487510,3.4,10.89,22650
47,2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",broad,476140,3.3,27.39,56980
25,2050,Special Education Teachers,broad,475700,3.3,3.18,63890
35,3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detail,473860,3.3,11.17,23240
49,1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detail,471820,3.3,33.33,69320
43,3021,Billing and Posting Clerks,detail,469250,3.2,19,39520
43,3071,Tellers,detail,468470,3.2,14.49,30140
2666211,,"Managers, All Other",detail,462840,3.2,55.57,115590
35,9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detail,455700,3.1,11.52,23950
25,1190,Miscellaneous Postsecondary Teachers,broad,444210,3.1,3.00,60200
47,2152,"Plumbers, Pipefitters, and Steamfitters",detail,438070,3.0,27.96,58150
33,3010,"Bailiffs, Correctional Officers, and Jailers",broad,433900,3.0,23.71,49320
47,2070,Construction Equipment Operators,broad,433690,3.0,25.09,52190
17,3020,"Engineering Technicians, Except Drafters",broad,430400,3.0,29.51,61380
41,2021,Counter and Rental Clerks,detail,426700,2.9,15,31200
25,2011,"Preschool Teachers, Except Special Education",detail,424520,2.9,16.54,34410
51,4120,"Welding, Soldering, and Brazing Workers",broad,424270,2.9,21.12,43930
29,2052,Pharmacy Technicians,detail,417860,2.9,16.35,34020
35,9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detail,416950,2.9,11.18,23260
41,3031,"Securities, Commodities, and Financial Services Sales Agents",detail,415890,2.9,47.49,98770
33,3012,Correctional Officers and Jailers,detail,415000,2.9,23.7,49300
53,3031,Driver/Sales Workers,detail,414860,2.9,14.24,29610
33,9090,Miscellaneous Protective Service Workers,broad,411300,2.8,15.06,31330
53,1048,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detail,411060,2.8,27.95,58140
13,1020,Buyers and Purchasing Agents,broad,407410,2.8,32.47,67530
15,1133,"Software Developers, Systems Software",detail,405330,2.8,54.81,114000
35,2012,"Cooks, Institution and Cafeteria",detail,400320,2.8,13.6,28290
39,5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",broad,397350,2.7,14.59,30340
51,9111,Packaging and Filling Machine Operators and Tenders,detail,395330,2.7,15.74,32740
41,3021,Insurance Sales Agents,detail,393830,2.7,32.64,67890
21,1093,Social and Human Service Assistants,detail,392300,2.7,17.22,35830
409743,,Computer and Information Systems Managers,detail,391430,2.7,73.49,152860
29,2030,Diagnostic Related Technologists and Technicians,broad,390630,2.7,31.38,65260
51,4121,"Welders, Cutters, Solderers, and Brazers",detail,389190,2.7,21.33,44360
29,1069,"Physicians and Surgeons, All Other",detail,389180,2.7,98.02,203880
51,4041,Machinists,detail,384350,2.7,21.75,45250
47,2073,Operating Engineers and Other Construction Equipment Operators,detail,383480,2.7,25.5,53030
15,1199,"Computer Occupations, All Other",detail,381380,2.6,44.88,93350
44866,,Sales Managers,detail,379050,2.6,67.46,140320
53,7061,Cleaners of Vehicles and Equipment,detail,378850,2.6,12.93,26900
39,5012,"Hairdressers, Hairstylists, and Cosmetologists",detail,377210,2.6,14.51,30190
2634069,,Medical and Health Services Managers,detail,372670,2.6,54.68,113730
15,1142,Network and Computer Systems Administrators,detail,366250,2.5,41.86,87070
51,3020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",broad,365660,2.5,14.38,29910
49,9041,Industrial Machinery Mechanics,detail,362440,2.5,25.96,54000
45,2090,Miscellaneous Agricultural Workers,broad,357850,2.5,13.12,27290
39,9032,Recreation Workers,detail,353570,2.4,13.61,28310
51,9198,Helpers--Production Workers,detail,350410,2.4,14.12,29380
43,5061,"Production, Planning, and Expediting Clerks",detail,350150,2.4,24.05,50020
39,3090,Miscellaneous Entertainment Attendants and Related Workers,broad,349440,2.4,11.61,24140
49,9090,"Miscellaneous Installation, Maintenance, and Repair Workers",broad,347350,2.4,19.25,40040
43,5052,Postal Service Mail Carriers,detail,342410,2.4,24.89,51780
31,9091,Dental Assistants,detail,341060,2.4,19.12,39770
13,2070,Credit Counselors and Loan Officers,broad,340690,2.4,35.33,73490
49,9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detail,324310,2.2,24.12,50160
33,2011,Firefighters,detail,321570,2.2,25.6,53240
29,2010,Clinical Laboratory Technologists and Technicians,broad,321220,2.2,25.91,53880
17,2070,Electrical and Electronics Engineers,broad,320610,2.2,50.12,104250
21,1021,"Child, Family, and School Social Workers",detail,320170,2.2,23.92,49760
39,3091,Amusement and Recreation Attendants,detail,319890,2.2,11.28,23460
51,4030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",broad,318860,2.2,18,37450
25,3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detail,315510,2.2,2.39,48040
41,4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detail,312980,2.2,44.15,91830
23,2011,Paralegals and Legal Assistants,detail,309940,2.1,26.2,54500
29,1051,Pharmacists,detail,309550,2.1,59.45,123670
39,9031,Fitness Trainers and Aerobics Instructors,detail,308470,2.1,21.43,44580
13,2051,Financial Analysts,detail,306200,2.1,48.55,100990
17,2051,Civil Engineers,detail,306030,2.1,45.06,93720
17,2110,"Industrial Engineers, Including Health and Safety",broad,305780,2.1,44.14,91800
13,2072,Loan Officers,detail,304950,2.1,36.67,76270
17,2141,Mechanical Engineers,detail,303440,2.1,44.62,92800
13,1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,302930,2.1,32.42,67440
13,1041,Compliance Officers,detail,300900,2.1,34.86,72520
43,5030,Dispatchers,broad,294900,2.0,20.7,43050
13,1151,Training and Development Specialists,detail,291380,2.0,31.31,65120
13,1031,"Claims Adjusters, Examiners, and Investigators",detail,287730,2.0,32.47,67540
51,2020,"Electrical, Electronics, and Electromechanical Assemblers",broad,287630,2.0,17.26,35910
45,2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detail,287420,2.0,12.72,26450
21,1012,"Educational, Guidance, School, and Vocational Counselors",detail,285460,2.0,28.93,60160
406090,,Administrative Services Managers,detail,283570,2.0,50.99,106050
17,2112,Industrial Engineers,detail,279550,1.9,44.05,91630
2601198,,Construction Managers,detail,278460,1.9,49.57,103110
51,2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",detail,275450,1.9,17.25,35880
43,9041,Insurance Claims and Policy Processing Clerks,detail,274560,1.9,20.26,42150
21,1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detail,267730,1.9,23.04,47920
27,2020,"Athletes, Coaches, Umpires, and Related Workers",broad,266860,1.8,2.25,45080
35,3041,"Food Servers, Nonrestaurant",detail,266190,1.8,12.01,24980
49,3031,Bus and Truck Mechanics and Diesel Engine Specialists,detail,264860,1.8,23.63,49150
2605216,,"Education Administrators, Elementary and Secondary School",detail,263120,1.8,4.92,98750
