Year,Country,Location,Latitude,Longitude,Focal Depth (km),Mag,Deaths
1515,CHINA,YUNNAN PROVINCE,26.6,100.2,,7,100
1989,CHINA,YUNNAN PROVINCE,23.553,99.526,33,5.6,1
1927,CHINA,YUNNAN PROVINCE,25.2,102.5,,5.5,
1733,CHINA,YUNNAN PROVINCE,26.2,103.1,,7.5,
2003,CHINA,YUNNAN PROVINCE,25.954,101.254,33,5.6,3
1515,CHINA,YUNNAN PROVINCE,25.7,100.2,,,200
1999,CHINA,YUNNAN PROVINCE,24.589,102.872,33,4.6,1
2015,CHINA,YUNNAN PROVINCE,23.5,98.9,11,5.5,
2013,CHINA,YUNNAN PROVINCE,28.243,99.35,8,5.8,5
1579,CHINA,YUNNAN PROVINCE,25.1,99.9,,5,10
2004,CHINA,YUNNAN PROVINCE,25.073,99.169,30,4.4,
2011,CHINA,YUNNAN PROVINCE,25.075,98.721,39,5.3,
2011,CHINA,YUNNAN PROVINCE,24.932,98.73,40,5,
1507,CHINA,YUNNAN PROVINCE,24.6,102.5,,5.3,
1481,CHINA,YUNNAN PROVINCE,26.5,99.9,,6,
1511,CHINA,YUNNAN PROVINCE,26.6,100,,5.8,
1512,CHINA,YUNNAN PROVINCE,25,98.5,,6.5,
1514,CHINA,YUNNAN PROVINCE,25.1,99.1,,5.5,
1517,CHINA,YUNNAN PROVINCE,24.1,102.6,,5.5,
1560,CHINA,YUNNAN PROVINCE,24.2,102.7,,5.5,100
1680,CHINA,YUNNAN PROVINCE,25,101.5,,6.8,2700
1688,CHINA,YUNNAN PROVINCE,26.5,99.9,,6.3,190
1750,CHINA,YUNNAN PROVINCE,24.7,102.9,,6,37
1751,CHINA,YUNNAN PROVINCE,26.5,99.9,,6.8,900
1755,CHINA,YUNNAN PROVINCE,24.7,102.2,,6.5,270
1755,CHINA,YUNNAN PROVINCE,23.8,102.7,,6,70
1761,CHINA,YUNNAN PROVINCE,24.4,102.5,,6,120
1761,CHINA,YUNNAN PROVINCE,24.4,102.5,,6,50
1763,CHINA,YUNNAN PROVINCE,24.3,102.8,,6.5,1000
1770,CHINA,YUNNAN PROVINCE,24.6,99.9,,5.5,
1799,CHINA,YUNNAN PROVINCE,23.8,102.4,,6.5,2000
1803,CHINA,YUNNAN PROVINCE,25.6,100.6,,6,200
1833,CHINA,YUNNAN PROVINCE,25.2,103,,8,6700
1834,CHINA,YUNNAN PROVINCE,24.9,103,,5,
1839,CHINA,YUNNAN PROVINCE,26.1,99.9,,6,100
1839,CHINA,YUNNAN PROVINCE,26.1,99.9,,6,129
1863,CHINA,YUNNAN PROVINCE,26,100.1,,5.5,
1876,CHINA,YUNNAN PROVINCE,25.4,99.4,,6,
1878,CHINA,YUNNAN PROVINCE,27.7,100.8,,5.5,70
1884,CHINA,YUNNAN PROVINCE,23,101.1,,6.5,17
1885,CHINA,YUNNAN PROVINCE,25,104,,5,4
1887,CHINA,YUNNAN PROVINCE,23.7,102.5,,6.8,2000
1901,CHINA,YUNNAN PROVINCE,26,100.1,,6,
1902,CHINA,YUNNAN PROVINCE,26.3,99.9,,5.5,6
1906,CHINA,YUNNAN PROVINCE,26.6,104.1,,5.5,
1906,CHINA,YUNNAN PROVINCE,24.6,98.6,,5.3,1
1909,CHINA,YUNNAN PROVINCE,24.4,103,,6.5,21
1913,CHINA,YUNNAN PROVINCE,24.15,102.45,10,7,942
1917,CHINA,YUNNAN PROVINCE,28,104,33,6.8,1800
1918,CHINA,YUNNAN PROVINCE,26.9,103,,5.5,
1925,CHINA,YUNNAN PROVINCE,27,100,,5.8,12
