Year,Country,Location,Latitude,Longitude,Focal Depth (km),Mag,Deaths
1576,EL SALVADOR,SAN MARCOS,,,,,
1791,GUATEMALA,SAN MARCOS,14.6,-91.5,,,
1950,GUATEMALA,SAN MARCOS,14.31,-91.917,65,7.5,
1965,EL SALVADOR,SAN MARCOS,13.5,-89.3,23,6,125
2014,MEXICO,SAN MARCOS,14.728,-92.578,67,6.9,3
1844,USA TERRITORY,SAN JUAN; ST THOMAS,18.3,-66.8,,,
2001,EL SALVADOR,SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,13.671,-88.938,10,6.6,315
1977,ARGENTINA,SAN JUAN PROVINCE,-31.03,-67.77,13,7.4,70
1944,ARGENTINA,SAN JUAN PROVINCE,-31.5,-68.5,50,7.8,8000
1881,NICARAGUA,"SAN JUAN DEL SUR,CHINANDEGA,MANAGUA",11.5,-86.3,,,
2009,NICARAGUA,SAN JUAN DEL RIO COCO,13.452,-86.06,36,4.4,
1844,NICARAGUA,SAN JUAN DEL NORTE(GREYTOWN),11,-84,,,
1812,USA,SAN JUAN CAPISTRANO,34.37,-117.65,,6.9,40
1867,USA TERRITORY,SAN JUAN,18.4,-64.3,,,
1940,ARGENTINA,SAN JUAN,-31,-69,,,
1943,USA TERRITORY,SAN JUAN,19.3,-67.5,,7.8,
1858,USA,"SAN JOSE,SAN FRANCISCO",37.5,-122,,,
2004,COSTA RICA,"SAN JOSE, PARRITA, QUEPOS",9.602,-84.172,16,6.4,8
1888,COSTA RICA,"SAN JOSE, ALA JUELA, HEREDIA",9.95,-84.1,,,
1868,MEXICO,"SAN JOSE DE ITURBIDE,PUEBLA,VERACRUZ",21.2,-100.5,,,
1881,COSTA RICA,SAN JOSE,11,-84,,,
1983,COSTA RICA,SAN JOSE,9.652,-83.688,33,6.2,2
2007,USA,SAN JOSE,37.434,-121.774,10,5.6,
1934,HONDURAS,"SAN JORGE, LA ENCARNACION, SAN FERNANDO",15,-89,,,
2002,ITALY,"SAN GUILIANO DI PUGLIA, CAMPOBASSO",41.789,14.872,10,5.7,29
1838,USA,"SAN FRANCISCO,SAN JOSE,SANTA CLARA",37.6,-122.4,,7,
1855,USA,SAN FRANCISCO,37.8,-122.4,,,
1857,USA,SAN FRANCISCO,35,-119,,8.3,
1869,USA,SAN FRANCISCO,37.783,-122.417,,,
1869,USA,SAN FRANCISCO,37.783,-122.417,,,
1906,USA,SAN FRANCISCO,37.67,-122.48,20,7.9,700
1879,USA,SAN FERNANDO,34.227,-118.433,,,
1971,USA,SAN FERNANDO,34.412,-118.4,8,6.5,65
1986,USA,"SAN DIEGO, NEWPORT BEACH",32.97,-117.869,6,5.8,
1862,USA,SAN DIEGO,32.7,-117.2,,5.9,
1901,USA,SAN DIEGO,36,-120.5,,6.4,
1644,VENEZUELA,SAN CRISTOBAL; COLOMBIA,7.6,-73,,,
1869,VENEZUELA,"SAN CRISTOBAL,TACHIRA (LOBATERA)",7.5,-72.1,,,
1880,CUBA,"SAN CRISTOBAL,CANDELARIA",22.4,-83,,,
1988,SOLOMON ISLANDS,"SAN CRISTOBAL, GUADALCANAL",-10.258,160.896,36,7.6,
1931,SOLOMON ISLANDS,SAN CRISTOBAL ISLAND,-10.932,161.016,35,7.8,
1875,MEXICO,SAN CRISTOBAL DE LA BARRANCA,20.7,-103.4,,7.5,25
1882,PANAMA,SAN BLAS ARCHIPELAGO,10,-79,,8.3,
2010,MEXICO,SAN ANDRES HUAXPALTEPEC,16.396,-97.782,20,6.2,1
1283,GEORGIA,"SAMTSKHE, DZHAVAKHET",41.7,43.2,14,6.3,
1893,GREECE,SAMOTHRAKI,40.5,25.5,,6.5,
2020,TURKEY,SAMOS; TURKEY,37.918,26.79,21,7,115
1904,GREECE,"SAMOS, PATMOS",37.75,27,10,6.2,4
1875,GREECE,SAMOS ISLAND,37.75,27,,,
1831,GREECE,SAMOS (DODECANESE),37.8,27,,,
1490,UZBEKISTAN,SAMARKAND,39.4,67.1,15,5.8,
1890,PHILIPPINES,"SAMAR,LEYTE",11.2,124.4,,,
1925,PHILIPPINES,"SAMAR I,  LAOANG I, BATAG I",13,125,22,7.3,
1988,PHILIPPINES,SAMAR,12.399,124.537,19,6.6,
2003,PHILIPPINES,SAMAR,12.025,125.416,35,6.5,1
1995,PHILIPPINES,SAMAR,12.059,125.58,21,7.2,
1995,PHILIPPINES,SAMAR,12.047,125.92,23,6.8,
2010,AFGHANISTAN,SAMANGAN PROVINCE,35.633,67.658,13,5.6,11
1873,EL SALVADOR,"SALVADOR,SAN VICENTE",13.6,-89,,,300
1844,ARGENTINA,"SALTA, JUJUY, TUCUMAN",-25,-66,,,
2010,ARGENTINA,SALTA,-24.872,-65.602,10,6.3,2
1930,IRAN,SALMAS,38.1,44.7,30,7.5,1360
1926,ITALY,SALINA ISLAND,38.567,14.833,100,5.3,
1989,MALAWI,"SALIMA, DEDZA, MOHINJI",-13.702,34.42,30,6.1,9
2006,MALAWI,SALIMA,-14.52,34.28,10,3.8,
1757,MOROCCO,"SALE, CAPE CANTIN",34,-6.8,,,3000
-15,CYPRUS,SALAMIS,35.2,34,,,
1914,JAPAN,SAKURIJIMA,31.58,130.67,,7.1,29
2004,RUSSIA,"SAKHALIN, YUZHNO, SAKHALINSK",47.311,142.12,14,4.9,
1971,RUSSIA,"SAKHALIN, MONERON ISLAND",46.5,141.2,9,7.1,
1971,RUSSIA,"SAKHALIN, MONERON ISLAND",46.4,141.1,21,6.1,
2000,RUSSIA,"SAKHALIN ISLAND, UGLEGORSK, MAKAROV",48.786,142.246,10,6.8,
1924,RUSSIA,SAKHALIN ISLAND,49.179,142.436,15,6.8,
2012,RUSSIA,SAKHALIN ISLAND,49.8,145.064,583,7.7,
1995,RUSSIA,SAKHALIN IS,52.629,142.827,11,7.1,1989
1990,USA TERRITORY,SAIPAN; GUAM,15.125,147.596,11,7.5,
2002,USA TERRITORY,SAIPAN,14.101,146.199,30,6.5,
1766,MARTINIQUE,SAINT-PIERRE,14.4,-61.1,,,
1994,HAITI,SAINT-LOUIS DU NORD,19.803,-72.799,59,5.4,4
1657,FRANCE,SAINTE MAURE,47.1,0.6,,,
1823,MARTINIQUE,SAINT PIERRE HARBOR,14.4,-61.1,,,
1824,MARTINIQUE,SAINT PIERRE,14.4,-61,,,
871,IRAN,SAIMAREH,33.2,47.2,,6.8,20000
2003,TURKEY,"SAGLAMTAS, PULUMUR",39.5,39.878,10,6.1,1
1872,GREECE,SAGIADHA-KONISPOLIS (THESPROTIA),39.8,20.3,,,
1257,JAPAN,SAGAMI BAY,35.2,139.5,,7,
1924,JAPAN,SAGAMI,35.5,139.5,,,14
1448,JAPAN,SADO,37.5,138.2,,7,
1976,TURKEY,"SADAL,DALAK DASHI,AB-E-GARM,SIAH CHESHMEH",39,44,,,1
1915,PHILIPPINES,"SABTAN,BATAN",11.3,122.3,,,
-177,ITALY,SABINES,,,100,,
1248,ITALY,SABAUDIA,41,13,,,9000
1976,MALAYSIA,SABAH,4.96,118.31,33,6.2,
2015,MALAYSIA,SABAH,5.987,116.541,10,6,18
1997,CHINA,"S. XINJIANG, JIASHI COUNTY, KASHI",39.422,76.839,22,5.6,2
1997,CHINA,"S. XINJIANG, JIASHI COUNTY",39.513,76.865,33,5.9,
1997,CHINA,"S. XINJIANG, BACHU, SHULE, YINGJISHA",39.527,76.941,15,6.2,9
2003,CHINA,S. XINJIANG,39.43,77.219,10,5.8,1
2015,CHINA,S. XINJIANG,37.6,78.2,10,6.4,3
2003,CHINA,S. XINJIANG,39.61,77.23,11,6.3,261
2003,CHINA,S. XINJIANG,39.483,77.393,10,5.4,5
1996,CHINA,S. XINJIANG,39.993,76.696,28,6.3,24
1997,CHINA,S. XINJIANG,39.537,76.998,33,6,
1982,JAPAN,S. OF HONSHU ISLAND,33.826,139.434,22,6.1,
1904,INDONESIA,S. JAVA,-7.7,109,,,
1231,ITALY,"S. GERMANO, MONTECASSINO",41.5,13.8,,,
1992,CHINA,S. CHINA SEA,18,108,8,3.7,
1986,GREECE,"S, MESSINIA, BERGA, NEDOUSA",36.93,22.175,10,4.8,
1988,IRAN,"S, MAMASANI, BUSHEHR, NURABAD",29.974,51.679,33,6.1,1
1980,MEXICO,"S, HUAJAPAN DE LEON, OAXACA",18.211,-98.24,72,6.4,300
1985,IRAN,"S, FIRUZABAD-JAHROM",28.399,52.997,37,5.3,1
1986,IRAN,"S, FARS PROVINCE, MAMASANI, SHIRAZ",29.962,51.582,10,5.6,1
1973,MEXICO,"S, FARIAS, TECOMAN",18.48,-103,43,7.5,56
1990,IRAN,"S, DARAB",28.251,55.462,11,6.7,22
2000,AUSTRALIA,"S, COCOS ISLANDS",-13.802,97.453,10,7.9,
1990,USA,"S,  CLAREMONT,  COVINA",34.14,-117.7,5,5.5,
1987,CHINA,S XINJIANG PROVINCE,41.964,81.319,17,5.8,
1985,CHINA,S XINJIANG,39.431,75.224,7,7.5,71
1990,CHINA,S XINJIANG,39.436,74.9,33,6.2,
1991,CHINA,S XINJIANG,40.386,78.959,21,6.1,
1716,CHINA,S XINJIANG,41.2,80.3,30,7.5,
1933,INDONESIA,S SUMATERA,-5.151,104.528,20,7.5,
1933,INDONESIA,S SUMATERA,-5.007,104.501,20,5.8,
1943,INDONESIA,S SUMATERA,-1,101,50,7.6,
1979,INDONESIA,S SUMATERA,-3.299,102.712,33,6.6,8
1988,GUATEMALA,"S PALIN, SAN VICENTE PACAYA",13.881,-90.45,69,6,5
1968,KERMADEC ISLANDS (NEW ZEALAND),"S OF, RAOUL",-30.8,-178.4,60,7.3,
2019,NEW ZEALAND,"S OF, RAOUL",-30.805,-178.095,34,7.2,
2020,NEW ZEALAND,"S OF, RAOUL",-33.294,-177.838,10,7.4,
1881,TAIWAN,S of XINZHU,24.5,120.7,,5.5,11
1907,TONGA,S OF TONGA,-21.17,-175.73,,,
1975,TONGA,S OF TONGA,-24.894,-175.119,9,7.8,
1903,INDONESIA,S OF JAVA,-8,106,,8.1,
1921,INDONESIA,S OF JAVA,-11,111,,7.5,
1972,JAPAN,"S OF HONSHU, HACHIJOJIMA",33.3,140.7,66,7.4,
1972,JAPAN,S OF HONSHU,33.3,140.8,56,7.2,
1917,KERMADEC ISLANDS (NEW ZEALAND),S OF,-29,-177.5,60,7.5,
1943,KERMADEC ISLANDS (NEW ZEALAND),S OF,-30,-177,60,7.6,
1978,KERMADEC ISLANDS (NEW ZEALAND),S OF,-30.68,-177.36,33,7.7,
1917,PHILIPPINES,S MINDANAO,6,125,,6.4,7
1986,IRAN,"S MAMASANI, SHIRAZ, NORABAD",29.985,51.623,26,5,
1862,PHILIPPINES,"S LUZON ISLAND, MINDORO ISLAND",14.5,121,,6.5,
1872,PHILIPPINES,S LUZON,13.8,121,,,
1869,PHILIPPINES,S LUZON,13.5,121,,,
1658,PHILIPPINES,S LUZON,14.4,120.6,,,
1999,PHILIPPINES,S LUZON,15.766,119.74,33,7.3,5
1728,PHILIPPINES,S LUZON,14.4,121,,,
1855,PHILIPPINES,S LUZON,16,121,,,
1978,JAPAN,S HONSHU,35.1,132.6,4,4.9,
2018,PAPUA NEW GUINEA,"S HIGHLANDS, HELA;  INDONESIA",-6.068,142.768,23,7.5,145
2018,PAPUA NEW GUINEA,"S HIGHLANDS, HELA",-6.294,142.607,10,6.7,25
2018,PAPUA NEW GUINEA,S HIGHLANDS,-6.182,142.492,16,6.1,1
2018,PAPUA NEW GUINEA,S HIGHLANDS,-6.307,142.62,10,6,11
262,TURKEY,S COASTS; LIBYA,36.6,30,,,
1880,PHILIPPINES,S COAST LUZON,16,121.85,100,7.5,20
1980,GUATEMALA,S COAST,14.716,-91.317,105,5.3,
1968,MEXICO,S CHIAPAS,15.5,-92.7,114,5.7,20
1984,ITALY,S CENTRAL,41.765,13.898,10,5.8,3
1984,ITALY,S CENTRAL,41.831,13.961,14,5.2,3
1980,PERU,S CENTRAL,-13.347,-74.545,71,4.9,7
1947,GREECE,S,37,22,28,6.9,3
1927,USA,S,34.813,-120.774,10,7.3,
1514,GREECE,S,37.8,21,,,
1622,GREECE,S,37.5,21,,,
1696,GREECE,S,37.8,21,,,
1742,GREECE,S,37.8,21,,,
1742,GREECE,S,37.8,21,,,
1752,GREECE,S,37.8,21,,,
1798,GREECE,S,36.2,23,,,
1853,ITALY,S,40.8,15.2,,,
1915,PERU,S,-18.5,-68.5,160,7.6,
1917,ITALY,S,41.7,13.6,,,
1919,ITALY,S,41.6,14.2,,,
1923,ITALY,S,41.7,13.5,,,
1925,ITALY,S,40.2,16.1,,,
1926,ITALY,S,41.5,13.8,,,
1927,ITALY,S,41.5,13.8,,,
1927,ITALY,S,41.9,13.5,,,
1928,INDIAN OCEAN,S,-2.5,88.5,33,8.1,
1951,ITALY,S,41.6,13.8,,,
1951,INDIAN OCEAN,S,-34,57,25,7.9,
1955,GREECE,S,37.5,22,,,
1957,BOLIVIA,S,-21,-66,170,7.8,
1958,PERU,S,-13.5,-69,620,7.5,
1958,PERU,S,-18,-65,,,4
1962,MEXICO,S,17.2,-99.6,40,7,4
1962,MEXICO,S,17.2,-99.5,33,7.2,3
1962,ITALY,S,41.4,15.5,34,6.1,16
1962,GREECE,S,37.8,22.9,100,6.8,1
1963,ITALY,S,40.8,15.6,,,
1963,PERU,S,-13.8,-69.3,543,7.7,
1964,IRAN,S,27,54,,,
1980,ITALY,S,40.459,15.855,24,4.5,
1981,ITALY,S,41.051,14.601,10,4.6,12
2008,IRAN,S,26.99,55.8,15,5.4,
2013,PERU,S,-15.748,-71.425,8,5.3,
1768,JAPAN,RYUKYU ISLANDS,26.2,127.5,,6.5,
1771,JAPAN,RYUKYU ISLANDS,24,124.3,,7.4,
1858,JAPAN,RYUKYU ISLANDS,26.2,127.5,,,
1865,JAPAN,RYUKYU ISLANDS,,,,,
1876,JAPAN,RYUKYU ISLANDS,,,,,
1901,JAPAN,RYUKYU ISLANDS,27,130,60,7.9,
1911,JAPAN,RYUKYU ISLANDS,28,130,160,8,12
1926,JAPAN,RYUKYU ISLANDS,27,127,130,7.5,
1958,JAPAN,RYUKYU ISLANDS,25,125,70,7.5,
1961,JAPAN,RYUKYU ISLANDS,29.6,131.8,60,,
1969,JAPAN,RYUKYU ISLANDS,32.2,132.1,41,,
2002,JAPAN,RYUKYU ISLANDS,23.346,124.09,33,6.4,
1995,JAPAN,RYUKU IS.,27.929,130.175,28,7.1,
1995,JAPAN,RYUKU IS.,28.094,130.148,20,6.8,
2019,POLAND,RYDULTOWY,50.08,18.39,10,3.4,1
2004,BURUNDI,RUYAGA,-3.393,29.558,10,4.7,3
2016,POLAND,RUDNA,51.613,16.157,5,4.2,8
2019,POLAND,RUDNA,51.52,16.09,2,3.8,1
1991,IRAN,"RUDBAR, RASHT",36.924,49.603,16,5,1
1400,IRAN,RUDBAR,36.5,49,,,
1998,AFGHANISTAN,ROSTAQ; TAJIKISTAN,37.075,70.089,33,5.9,2323
1836,ITALY,"ROSSANO,CROSIA,CRACO,BASILICATA",39.6,16.6,,,589
1988,TAJIKISTAN,"ROSHTKALA, KHOROG",37.18,71.811,11,5,
1556,TURKEY,ROSANNA; NEAR ISTANBUL,41,29,,,
-364,ITALY,ROME,35,25,100,,
258,ITALY,ROME,41.9,12.45,,,
-432,GREECE,ROMAN TERRITORIES,37,22.5,,,
801,ITALY,ROMA (ROME),41.9,12.6,,,
896,ITALY,ROMA (ROME),41.9,12.6,,,
1447,ITALY,ROMA (ROME),41.9,12.6,,,
1812,ITALY,ROMA (ROME),41.9,12.45,,,
2002,TAJIKISTAN,ROGHUN,38.673,69.902,33,5.3,3
2002,TAJIKISTAN,ROGHUN,38.773,69.924,44,4.9,
1992,NETHERLANDS,ROERMOND; GERMANY,51.153,5.798,21,5.2,1
1640,GERMANY,ROER VALLEY,50.8,5.7,,,
1481,ITALY,RODI GARGANICO,42,15.9,,,
1884,USA,"ROCKAWAY BEACH, NEAR NEW YORK CITY",40.6,-73.75,,5.5,
1868,COLOMBIA,"ROBADOR,SIMACOTA,BARICHARA DE CABRERA",7,-73,,,
1844,NICARAGUA,"RIVAS, GREYTOWN",11.2,-84.8,,7.4,
1985,NICARAGUA,"RIVAS,  MASAYA",11.725,-85.838,22,6,
2016,RWANDA,RISUZI; CONGO,-2.65,29.06,10,4.8,8
1991,PERU,"RIOJA, NEUVA CAJAMARCA",-6.038,-77.13,21,6.4,
1991,PERU,"RIOJA, MOYOBAMBA, NUEVA CAJAMARCA",-5.982,-77.094,20,6.7,53
1797,ECUADOR,"RIOBAMBA, QUITO, CUZCO",-1.64,-78.67,,8.3,40000
1868,VENEZUELA,RIO CARIBE,10.7,-63.1,,,
1672,ITALY,RIMINI,43.933,12.583,,5.6,1500
1298,ITALY,RIETI,42.4,12.9,,,
1300,ITALY,RIETI,42.4,12.9,,,
2019,USA,RIDGECREST;  NEVADA,35.705,-117.506,11,6.4,1
2019,USA,RIDGECREST,35.766,-117.605,8,7.1,
1909,PORTUGAL,"RIBATEJO, BENAVENTE",38.9,-8.8,,6.6,30
1374,SPAIN,RIBAGORZA,42.1,-0.3,,,
1863,GREECE,"RHODES, KOS",36.5,28,,6.7,
1926,GREECE,RHODES ISLAND; LOWER EGYPT,36.5,27.5,100,7.9,
142,GREECE,RHODES,36.7,28,,7,
1481,GREECE,RHODES,36,28,,7.1,
1481,GREECE,RHODES,36,28,,,
1481,GREECE,RHODES,36,28,,,
1176,IRAN,REY-QAZVIN,36.3,50,,,
1924,ICELAND,REYKJAVIK,64.15,-21.95,,,
2008,ICELAND,REYKJAVIK,64.004,-21.012,10,6.3,
-400,IRAN,"REY,EIVAN-E-KAY",35.5,51.8,,7.6,
958,IRAN,REY (RAY); AFGHANISTAN,35.3,51.2,,,
1175,IRAN,"REY (RAY),QAZVIN",35.3,51.2,,,
850,IRAN,REY (RAY),35.3,51.2,,,45000
855,IRAN,REY (RAY),35.3,51.2,,,
863,IRAN,REY (RAY),35.3,51.2,,,
898,IRAN,REY (RAY),35.3,51.2,,,
1382,IRAN,REY (RAY),35.3,51.2,,,
864,IRAN,REY,35.3,51.2,,,
1906,MEXICO,REVILLA GIGEDO ISLANDS,19,-113.8,60,7.5,
1682,FRANCE,"REMIREMONT,FOUGEROLLES,FAUCOGNEY",48,6.5,,,
1509,ITALY,REGGIO DI CALABRIA,38.1,15.7,,,
1831,ITALY,REGGIO DI CALABRIA,38.1,15.7,,,
1994,USA,"READING, FELT TO CANADA",40.33,-76.037,5,4.6,
1941,YEMEN,RAZIH,16.4,43.5,,5.9,1200
957,IRAN,"RAY, TALQAN",35.7,51.4,,,
1911,IRAN,RAVAR,31.23,57.03,50,6.7,700
2012,IRAN,RAVAR,31.428,56.778,10,5.2,
1905,SYRIA,RASUM-KALE (NEAR HALAB); LEBANON,36.1,37.1,,,
1990,IRAN,"RASHT, QAZVIN, ZANJAN,  RUDBAR, MANJIL",36.957,49.409,19,7.3,40000
2007,TAJIKISTAN,"RASHT, ASHT",38.936,70.485,10,5.2,12
2016,TAJIKISTAN,RASHT,38.881,70.559,10,5,
1986,KERMADEC ISLANDS (NEW ZEALAND),RAOUL,-28.117,-176.367,29,8.1,
1819,INDIA,"RANN OF KUTCH,AHMADABAD,POONAH,BHOOJ",23,71,,7.7,1543
1845,INDIA,RANN OF KUTCH,23.583,68.367,,6.3,
2002,BANGLADESH,"RANGPUR, THAKURGAON, ALMANAGAR",25.842,88.932,40,4.5,
1895,MYANMAR (BURMA),RANGOON,16.8,96.2,,,
2008,BANGLADESH,"RANGAMATI, BANGLADESH",22.761,92.333,34,5,
2003,BANGLADESH,RANGAMATI,22.854,92.306,10,5.7,2
2010,CHILE,RANCAGUA,-34.29,-71.891,11,6.9,
1819,NORWAY,RANA REGION,66.416,12.85,,5.8,
1904,USA,RAMPART,64.66,-148.08,,8.3,
1068,ISRAEL,"RAMLA,PALESTINE,JERUSALEM,TABUK,KUFA,HALLA",29.5,34.95,,,
1293,ISRAEL,"RAMLA,GAZA; JORDAN",32,34.9,,,
1033,SYRIA,"RAMALA, GAZA, NABLUS; EGYPT",33,35,,,70000
2000,AFGHANISTAN,RAKHOR,37.542,69.582,33,5.1,
2006,INDIA,RAJASTHAN,26.88,76.15,10,4.2,
1919,FIJI,"RABI,TUNULOA MISSION,SUVASAVU",-16.5,180,,6.9,
1995,PAPUA NEW GUINEA,"RABAUL, KOKOPO, NEW BRITAIN",-5.799,154.178,30,7.7,
2019,PAPUA NEW GUINEA,"RABAUL, DUKE OF YORK IS",-4.051,152.597,10,7.6,
1900,PAPUA NEW GUINEA,RABAUL HARBOR,-5,148,,7.1,
1969,PORTUGAL,"RABAT, SALE; SPAIN",36.017,-10.95,22,7.8,25
-31,ISRAEL,"QUMRAN,ARIHA (JERICHO)",32,35.5,,7,
662,IRAN,QUMIS,35.3,54,,,40000
1587,ECUADOR,QUITO,-0.22,-78.5,,,
1590,ECUADOR,QUITO,-0.5,-78.2,,,
1627,ECUADOR,QUITO,-0.2,-78.5,,,
1808,ECUADOR,QUITO,-0.217,-78.5,,,
1995,ECUADOR,QUITO,-2.75,-77.881,24,7,2
2014,ECUADOR,QUITO,-0.018,-78.322,12,5.1,2
1973,PHILIPPINES,QUEZON CITY,13.4,122.8,33,7.5,15
1998,GUATEMALA,"QUEZALTENANGO, SAN MARCOS, SOLOLA",14.374,-91.473,33,6.6,
1902,GUATEMALA,"QUEZALTENANGO, SAN MARCOS",14,-91,33,7.5,2000
2017,GUATEMALA,"QUETZALTENANGO, SUCHITEPEQUEZ; MEXICO",14.909,-92.009,93,6.9,5
1978,PAKISTAN,"QUETTA, NUSHKI",29.926,66.302,33,5.9,1
1935,PAKISTAN,QUETTA,29.5,66.8,33,7.5,60000
1955,PAKISTAN,QUETTA,30.5,67,,,12
2004,PAKISTAN,QUETTA,30.126,67.121,10,4.5,1
2005,PAKISTAN,QUETTA,30.378,68.038,52,4.9,
2008,PAKISTAN,QUETTA,30.639,67.351,15,6.4,166
2010,PAKISTAN,QUETTA,30.178,67.117,27,4.7,
1970,CANADA,"QUEEN CHARLOTTE ISLANDS, BRITISH COLOMBIA",51.8,-131,12,7.5,
1929,CANADA,QUEEN CHARLOTTE ISLANDS,51,-131,33,7,
1949,CANADA,QUEEN CHARLOTTE ISLANDS,53.62,-133.27,25,8.1,
2001,CANADA,QUEEN CHARLOTTE ISLANDS,52.63,-132.2,20,6.1,
2012,CANADA,QUEEN CHARLOTTE ISLANDS,52.788,-132.101,14,7.7,
2010,CANADA,QUEBEC,45.88,-75.48,22,5.2,
1988,CANADA,QUEBEC,48.117,-71.183,29,5.8,
1870,CANADA,QUEBEC,47.4,-70.5,,,2
1893,IRAN,"QUCHAN, MASHHAD, BOJNURD",37.2,58.4,,6.6,18000
1871,IRAN,QUCHAN,37.3,58.3,15,5.6,2000
1872,IRAN,QUCHAN,37.3,58.3,15,6.3,4000
1894,IRAN,QUCHAN,37.1,58.3,,,
1895,IRAN,QUCHAN,37.1,58.4,,6.8,1000
2007,IRAN,QOM,34.437,50.833,5,5.5,
1896,IRAN,QOBEH-E-SABZ (KERMAN),30.3,57.1,,,
1972,IRAN,"QIR,KARZIN, JAHROM, FIRUZABAD",28.4,52.8,11,6.9,30000
2010,CHINA,QINGHAI PROVINCE,33.165,96.548,17,6.9,2220
2001,CHINA,QINGHAI PROVINCE,35.946,90.541,10,7.8,
1994,CHINA,QINGHAI PROVINCE,36.028,100.104,8,5.7,
1990,CHINA,QINGHAI PROVINCE,35.986,100.245,8,6.9,126
2003,CHINA,QINGHAI PROVINCE,37.529,96.476,14,6.4,
2004,CHINA,QINGHAI PROVINCE,37.506,96.758,14,5.4,
1738,CHINA,QINGHAI PROVINCE,33.3,96.6,,6.5,336
1819,CHINA,QINGHAI PROVINCE,36.1,102.3,,5.8,126
1834,CHINA,QINGHAI PROVINCE,33,97,,5.5,88
1888,CHINA,QINGHAI PROVINCE,36.5,102.2,,5,
1893,CHINA,QINGHAI PROVINCE,36.6,101.8,,5.5,
1937,CHINA,QINGHAI PROVINCE,35.5,97.6,60,7.5,
1947,CHINA,QINGHAI PROVINCE,33.3,99.5,,7.7,
1962,CHINA,QINGHAI PROVINCE,37.1,96,,6.8,
1963,CHINA,QINGHAI PROVINCE,35.7,97,,7,
2008,CHINA,QINGHAI PROVINCE,37.565,95.833,19,6.3,
2009,CHINA,QINGHAI PROVINCE,37.696,95.718,13,6.2,
2011,CHINA,QINGHAI PROVINCE,32.447,95.948,29,5.3,
2020,CHINA,QINGHAI PROVINCE,33.124,98.916,10,5.3,
1902,IRAN,"QESHM,BANDAR ABBAS",26.6,56.2,,,10
2005,IRAN,"QESHM, ZIRANG",26.774,55.858,10,6,13
1897,IRAN,"QESHM ISLAND, LARAK ISLAND",26.95,56.26,33,6.1,1600
1703,IRAN,QESHM ISLAND (QISHM ISLAND),26.6,56.2,,,
1902,IRAN,QESHM ISLAND,27.1,56.3,,,
1306,IRAN,QESHM ISLAND,26.6,56.2,,,
1360,IRAN,QESHM ISLAND,26.8,55.9,,,
1884,IRAN,"QESHM I,BANDAR-E-LAFT,SAHELI,TONBAN,DIRESTAN",26.81,55.91,,,238
1336,IRAN,QESHM,26.6,56.2,,,
1973,IRAN,"QESHLAGH,DEH BID",30.57,52.89,11,5.5,1
1808,IRAN,QAZVIN-TALEQAN,36.2,50,,,
1119,IRAN,QAZVIN,36.2,50,,6.5,
1639,IRAN,QAZVIN,36.2,50,,,12000
1549,IRAN,"QAYEN (QAIN),KHORASAN",33.5,59.1,,,3000
1923,IRAN,QALEH JAQ KMEN,37.2,57.7,,6.4,157
1930,MYANMAR (BURMA),PYU,18.2,96.4,,7.3,36
2006,FRANCE,PYRENEES,42.99,-0.05,10,4.7,
501,NORTH KOREA,PYONGYANG,39,125.3,,6.3,
1905,TURKEY,"PUTURGE,CELIKHAN,RUMKALE",38.1,38.6,,6.8,
1834,COLOMBIA,"PUTUMAYO,PASTO, POPAYAN, SANTA MARTA",1.2,-77,5,7,80
1812,USA,PURISIMA,34.2,-119.9,,7.5,1
1990,COSTA RICA,"PUNTARENAS, SAN JOSE",9.919,-84.808,22,7,
1905,COSTA RICA,PUNTARENAS,9.85,-84.68,,6.8,
2016,PERU,"PUNO, LAMPA",-15.44,-70.93,10,6.2,1
1989,USA,PUNA DISTRICT,19.362,-155.083,9,6.1,
2018,USA,PUNA DISTRICT,19.37,-155.032,5,6.9,
1917,TAIWAN,PULI,23.9,120.9,,6.3,54
1891,USA,PUGET SOUND,48,-123.5,,,
1956,NICARAGUA,PUERTO SAMOZA,12.2,-86.7,,7.3,
1776,DOMINICAN REPUBLIC,PUERTO RICO,19,-70.4,,,
2003,DOMINICAN REPUBLIC,"PUERTO PLATA, SANTIAGO",19.777,-70.673,10,6.4,3
1953,DOMINICAN REPUBLIC,PUERTO PLATA,19.8,-70.7,33,7.2,
1960,CHILE,"PUERTO MONTT, VALDIVIA",-38.143,-73.407,33,9.5,2000
1871,CHILE,PUERTO MONTT,-41.5,-73,,,
1979,PANAMA,PUERTO ARMUELLES,8.316,-82.943,28,6.5,
2003,PANAMA,PUERTO ARMUELLES,8.416,-82.824,33,6.5,2
1997,CHILE,"PUEBLO NUEVO, COQUIMBO, LA CHIMBA",-30.933,-71.22,58,7.1,8
1716,PERU,PUEBLO DE TORATA IN TACNA,-17.2,-71.2,40,8.8,
1864,MEXICO,"PUEBLA,VERACRUZ,ACULTZINGO,ACATZINGO",18.6,-97.5,,,20
1882,MEXICO,"PUEBLA,HUAHUAPAN,HUAMUXTITLAN,XALPATLAHUAC",17.5,-98.3,,,7
1999,MEXICO,"PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO",18.386,-97.436,70,7,20
1866,MEXICO,"PUEBLA, VERACRUZ",19,-98,,,
